Country,State,Route,Active,Latitude,Longitude,Stratum,BCR
840,51,3,1,34.5002597,-90.4577249,5,26
840,51,6,1,32.8000347,-90.1935199,4,27
840,51,7,1,33.2124607,-90.6941829,5,26
840,51,8,1,32.1085617,-90.5715029,4,27
840,51,9,1,31.5016917,-90.5987079,4,27
840,51,10,1,31.7099007,-91.0571174,4,27
840,51,12,1,34.8019937,-89.8113619,4,27
840,51,15,1,32.3251307,-89.4857109,4,27
840,51,16,1,32.5602847,-89.1019294,4,27
840,51,17,1,31.603808,-89.8130614,4,27
840,51,18,1,31.2358314,-89.8256369,4,27
840,51,20,1,30.7939126,-89.7137542,4,27
840,51,22,1,34.2998857,-88.5977339,4,27
840,51,23,1,33.1507326,-88.6241136,4,27
840,51,25,1,33.8691757,-88.6571809,4,27
840,51,26,1,32.5003056,-88.9270272,4,27
840,51,27,1,31.2334957,-88.7900629,4,27
840,51,28,1,31.6890917,-88.5298989,4,27
840,51,30,1,30.8158367,-88.7684399,3,27
840,51,31,1,31.7258462,-89.3435859,4,27
840,51,32,1,32.5813361,-89.8675417,4,27
840,51,33,1,31.5323896,-90.1565225,4,27
840,51,34,1,33.6053333,-91.11808,5,26
840,51,35,1,32.1287076,-90.749474,4,27
840,51,36,1,32.4505861,-90.8809066,4,26
840,51,37,1,31.0534826,-89.2701391,3,27
840,51,38,1,33.1294539,-89.1031668,4,27
840,51,39,1,34.1629417,-89.6794343,4,27
840,51,40,1,33.9667056,-90.7664328,5,26
840,51,41,1,34.3507798,-89.1849649,4,27
840,51,42,1,34.6420194,-88.1386101,4,27
840,51,43,1,31.0239867,-90.574498,3,27
840,51,104,1,34.4218377,-90.4983459,5,26
840,51,111,1,34.9641831,-89.6888585,4,27
840,51,113,1,33.5589457,-89.3902589,4,27
840,51,119,1,30.6193407,-89.5109799,3,27
840,51,224,1,32.8330316,-88.4874274,4,27
840,51,901,1,31.9621774,-89.2120306,4,27
840,51,902,1,32.4750637,-88.7854619,4,27
840,51,903,1,32.6458127,-90.721818,5,26
840,51,904,1,33.7693377,-90.1416549,5,26
840,51,905,1,33.9855857,-90.1939619,5,26
840,52,1,1,36.8252566,-89.2477946,5,26
